datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2021-07-20 16:00:00,1803.87,1820.0,1777.0,1777.25,217997.205,391363672.26694,186348,109846.414,197343784.34519
2021-07-20 17:00:00,1777.28,1787.18,1775.55,1781.84,98948.828,176190186.82732,100121,55780.414,99342273.74119
2021-07-20 18:00:00,1781.74,1794.95,1779.27,1792.8,74253.661,132771125.44908,90609,36985.618,66133364.62192
2021-07-20 19:00:00,1792.8,1802.76,1784.38,1788.25,77493.869,138983082.16974,91517,38792.053,69589940.21332
2021-07-20 20:00:00,1788.26,1804.16,1788.17,1793.12,55197.148,99150670.11802,78017,28428.252,51065151.8972
2021-07-20 21:00:00,1792.84,1798.65,1776.8,1784.65,94815.611,169288768.66555,97900,40279.487,71926388.94461
2021-07-20 22:00:00,1784.64,1789.0,1764.6,1769.9,93037.742,165123126.1335,97223,42815.762,76018378.2713
2021-07-20 23:00:00,1769.9,1793.25,1769.29,1785.04,102066.043,181911790.58488,99918,55394.62,98720200.05294
2021-07-21 00:00:00,1785.2,1796.99,1765.22,1768.54,159223.924,283395671.75298,128574,76020.487,135302530.87517
2021-07-21 01:00:00,1768.5,1777.81,1752.35,1772.01,163952.825,289769556.469,125805,80552.159,142419777.55041
2021-07-21 02:00:00,1772.01,1800.0,1771.9,1793.54,181351.705,324121323.51786,138044,94623.747,169131228.93881
2021-07-21 03:00:00,1793.54,1808.75,1787.67,1800.6,136613.47,245650182.25568,119410,72442.014,130307249.76571
2021-07-21 04:00:00,1800.61,1871.6,1799.75,1860.33,512581.951,944265502.43451,343529,281429.173,518210728.29099
2021-07-21 05:00:00,1860.2,1867.58,1850.84,1854.8,152381.258,283098195.18954,126303,75858.444,140965818.40285
2021-07-21 06:00:00,1854.8,1877.92,1854.8,1875.8,167261.154,312261228.05169,134487,88252.787,164766723.21112
2021-07-21 07:00:00,1875.8,1880.0,1861.0,1874.1,141893.79,265169103.3277,128529,67659.378,126483226.41695
